Date,Daily Total Cases,Daily Total Deaths,Computed Daily Deaths,DHEC Daily Cases,DHEC Sum,,Test Total - Positive,Test Total - Negative,
2020-03-06,2,0,0,3,3,,,,
2020-03-07,0,0,0,0,3,,,,
2020-03-08,6,0,0,0,3,,,,
2020-03-09,6,0,0,2,5,,,,
2020-03-10,6,0,0,4,9,,,,
2020-03-11,6,0,0,3,12,,,,
2020-03-12,12,0,0,3,15,,,,
2020-03-13,13,0,0,0,15,,,,
2020-03-14,19,0,0,11,26,,,,
2020-03-15,28,0,0,5,31,,,,
2020-03-16,28,1,1,14,45,,,,
2020-03-17,47,1,0,14,59,,,,
2020-03-18,60,1,0,31,90,,,,
2020-03-19,81,1,0,44,134,,,,
2020-03-20,125,3,2,48,182,,,,
2020-03-21,173,3,0,22,204,,,,
2020-03-22,195,3,0,105,309,,,,
2020-03-23,298,5,2,42,351,,,,
2020-03-24,342,7,2,81,432,,,,
2020-03-25,424,7,0,31,463,,,,
2020-03-26,456,9,2,83,546,,,,
2020-03-27,539,13,4,130,676,,,,
2020-03-28,660,15,2,110,786,,,,
2020-03-29,774,16,1,146,932,,,,
2020-03-30,925,18,2,162,1094,,,,
2020-03-31,1083,22,4,206,1300,,,,
2020-04-01,1293,26,4,256,1556,,,,
2020-04-02,1554,31,5,148,1704,,,,
2020-04-03,1700,34,3,215,1919,,,,
2020-04-04,1917,40,6,135,2054,,,,
2020-04-05,2049,44,4,182,2236,,,,
2020-04-06,2232,48,4,200,2436,,,,
2020-04-07,2417,51,3,135,2571,,,,
2020-04-08,2552,63,12,250,2821,,,,
2020-04-09,2792,67,4,267,3088,,,,
2020-04-10,3065,72,5,140,3228,,,,
2020-04-11,3207,80,8,117,3345,,,,
2020-04-12,3319,82,2,120,3465,,,,
2020-04-13,3439,87,5,132,3597,,3439,20013,0.171838305101684
2020-04-14,3553,97,10,90,3687,,3553,30319,0.117187242323296
2020-04-15,3656,107,10,267,3954,,3656,31077,0.117643273160215
2020-04-16,3931,109,2,156,4110,,3931,32353,0.121503415448336
2020-04-17,4086,116,7,158,4268,,4086,33554,0.121773857066222
2020-04-18,4246,119,3,129,4397,,4246,34587,0.12276288779021
2020-04-19,4377,120,1,65,4462,,4377,36103,0.12123646234385
2020-04-20,4439,124,4,171,4633,,4439,36838,0.120500570063521
2020-04-21,4608,135,11,156,4789,,4608,37833,0.121798429942114
2020-04-22,4761,140,5,151,4940,,4761,38350,0.124146023468057
2020-04-23,4917,150,10,170,5110,,4917,39546,0.124336216052192
2020-04-24,5070,157,7,252,5362,,5070,41926,0.120927348184897
2020-04-25,5253,166,9,151,5513,,5253,43761,0.12003839034757
2020-04-26,5490,174,8,151,5664,,,,
2020-04-27,5613,177,3,107,5771,,5613,46532,0.120626665520502
2020-04-28,5735,192,15,113,5884,,5735,47380,0.121042634022794
2020-04-29,5881,203,11,197,6081,,,,
2020-04-30,6095,244,41,157,6238,,6095,50417,0.12089176269909
2020-05-01,6258,256,12,196,6434,,6258,53121,0.117806517196589
2020-05-02,6489,267,11,135,6569,,6489,55127,0.117710015056143
2020-05-03,6626,275,8,121,6690,,6626,57562,0.115110663284806
2020-05-04,6757,283,8,90,6780,,,,
2020-05-05,6841,296,13,92,6872,,6841,61925,0.11047234557933
2020-05-06,6936,305,9,200,7072,,6936,70546,0.0983188274317467
2020-05-07,7142,316,11,231,7303,,7142,66300,0.107722473604827
2020-05-08,7367,320,4,174,7477,,7367,70923,0.103873214613031
2020-05-09,7531,330,10,102,7579,,7531,73432,0.102557468133784
2020-05-10,7653,343,13,135,7714,,7653,76804,0.0996432477475132
2020-05-11,7792,346,3,140,7854,,7792,82176,0.0948208722741433
2020-05-12,7927,355,9,131,7985,,,,
2020-05-13,8030,362,7,167,8152,,8030,87836,0.0914203743339861
2020-05-14,8189,371,9,219,8371,,8189,94346,0.0867975324868039
2020-05-15,8407,380,9,274,8645,,8407,101209,0.0830657352606982
2020-05-16,8661,380,0,157,8802,,8661,111670,0.0775588788394376
2020-05-17,8816,385,5,123,8925,,,,
2020-05-18,8942,391,6,132,9057,,8942,122617,0.072926266341535
2020-05-19,9056,399,8,139,9196,,9056,126007,0.0718690231495076
2020-05-20,9175,407,8,212,9408,,,,
2020-05-21,9379,416,9,248,9656,,9175,129063,0.0710893129711846
2020-05-22,9638,419,3,234,9890,,14361,140385,0.102297253980126
2020-05-23,9895,425,6,193,10083,,14803,149015,0.0993389927188538
2020-05-24,10096,435,10,89,10172,,15057,153851,0.0978674171763589
2020-05-25,10178,440,5,251,10423,,15192,155842,0.0974833485196545
2020-05-26,10416,446,6,207,10630,,15801,162318,0.0973459505415296
2020-05-27,10623,466,20,157,10787,,16094,165060,0.0975039379619532
2020-05-28,10788,470,4,324,11111,,16327,171461,0.0952228203498172
2020-05-29,11131,483,13,415,11526,,16921,177126,0.0955308650339306
2020-05-30,11394,487,4,307,11833,,21610,178125,0.121319298245614
2020-05-31,11861,494,7,294,12127,,17892,188355,0.0949908417615673
2020-06-01,12148,500,6,285,12412,,18286,192540,0.0949724732523112
2020-06-02,12415,501,1,235,12647,,18685,206362,0.0905447708395926
2020-06-03,12651,518,17,359,13006,,20413,210274,0.0970780981005735
2020-06-04,13005,525,7,447,13453,,20962,217846,0.0962239380112557
2020-06-05,13453,538,13,,,,,,
